key,category,en,fr
1,numbers1-50,one,un
2,numbers1-50,two,deux
3,numbers1-50,three,trois
4,numbers1-50,four,quatre
5,numbers1-50,five,cinq
6,numbers1-50,six,six
7,numbers1-50,seven,sept
8,numbers1-50,eight,huit
9,numbers1-50,nine,neuf
10,numbers1-50,ten,dix
11,numbers1-50,eleven,onze
12,numbers1-50,twelve,douze
13,numbers1-50,thirteen,treize
14,numbers1-50,fourteen,quatorze
15,numbers1-50,fifteen,quinze
16,numbers1-50,sixteen,seize
17,numbers1-50,seventeen,dix-sept
18,numbers1-50,eighteen,dix-huit
19,numbers1-50,nineteen,dix-neuf
20,numbers1-50,twenty,vingt
21,numbers1-50,twenty-one,vingt-et-un
22,numbers1-50,twenty-two,vingt-deux
23,numbers1-50,twenty-three,vingt-trois
24,numbers1-50,twenty-four,vingt-quatre
25,numbers1-50,twenty-five,vingt-cinq
26,numbers1-50,twenty-six,vingt-six
27,numbers1-50,twenty-seven,vingt-sept
28,numbers1-50,twenty-eight,vingt-huit
29,numbers1-50,twenty-nine,vingt-neuf
30,numbers1-50,thirty,trente
31,numbers1-50,thirty-one,trente-et-un
32,numbers1-50,thirty-two,trente-deux
33,numbers1-50,thirty-three,trente-trois
34,numbers1-50,thirty-four,trente-quatre
35,numbers1-50,thirty-five,trente-cinq
36,numbers1-50,thirty-six,trente-six
37,numbers1-50,thirty-seven,trente-sept
38,numbers1-50,thirty-eight,trente-huit
39,numbers1-50,thirty-nine,trente-neuf
40,numbers1-50,forty,quarante
41,numbers1-50,forty-one,quarante-et-un
42,numbers1-50,forty-two,quarante-deux
43,numbers1-50,forty-three,quarante-trois
44,numbers1-50,forty-four,quarante-quatre
45,numbers1-50,forty-five,quarante-cinq
46,numbers1-50,forty-six,quarante-six
47,numbers1-50,forty-seven,quarante-sept
48,numbers1-50,forty-eight,quarante-huit
49,numbers1-50,forty-nine,quarante-neuf
50,numbers1-50,fifty,cinquante
51,numbers51-100,fifty-one,cinquante-et-un
52,numbers51-100,fifty-two,cinquante-deux
53,numbers51-100,fifty-three,cinquante-trois
54,numbers51-100,fifty-four,cinquante-quatre
55,numbers51-100,fifty-five,cinquante-cinq
56,numbers51-100,fifty-six,cinquante-six
57,numbers51-100,fifty-seven,cinquante-sept
58,numbers51-100,fifty-eight,cinquante-huit
59,numbers51-100,fifty-nine,cinquante-neuf
60,numbers51-100,sixty,soixante
61,numbers51-100,sixty-one,soixante-et-un
62,numbers51-100,sixty-two,soixante-deux
63,numbers51-100,sixty-three,soixante-trois
64,numbers51-100,sixty-four,soixante-quatre
65,numbers51-100,sixty-five,soixante-cinq
66,numbers51-100,sixty-six,soixante-six
67,numbers51-100,sixty-seven,soixante-sept
68,numbers51-100,sixty-eight,soixante-huit
69,numbers51-100,sixty-nine,soixante-neuf
70,numbers51-100,seventy,soixante-dix
71,numbers51-100,seventy-one,soixante-et-onze
72,numbers51-100,seventy-two,soixante-douze
73,numbers51-100,seventy-three,soixante-treize
74,numbers51-100,seventy-four,soixante-quatorze
75,numbers51-100,seventy-five,soixante-quinze
76,numbers51-100,seventy-six,soixante-seize
77,numbers51-100,seventy-seven,soixante-dix-sept
78,numbers51-100,seventy-eight,soixante-dix-huit
79,numbers51-100,seventy-nine,soixante-dix-neuf
80,numbers51-100,eighty,quatre-vingts
81,numbers51-100,eighty-one,quatre-vingt-un
82,numbers51-100,eighty-two,quatre-vingt-deux
83,numbers51-100,eighty-three,quatre-vingt-trois
84,numbers51-100,eighty-four,quatre-vingt-quatre
85,numbers51-100,eighty-five,quatre-vingt-cinq
86,numbers51-100,eighty-six,quatre-vingt-six
87,numbers51-100,eighty-seven,quatre-vingt-sept
88,numbers51-100,eighty-eight,quatre-vingt-huit
89,numbers51-100,eighty-nine,quatre-vingt-neuf
90,numbers51-100,ninety,quatre-vingt-dix
91,numbers51-100,ninety-one,quatre-vingt-onze
92,numbers51-100,ninety-two,quatre-vingt-douze
93,numbers51-100,ninety-three,quatre-vingt-treize
94,numbers51-100,ninety-four,quatre-vingt-quatorze
95,numbers51-100,ninety-five,quatre-vingt-quinze
96,numbers51-100,ninety-six,quatre-vingt-seize
97,numbers51-100,ninety-seven,quatre-vingt-dix-sept
98,numbers51-100,ninety-eight,quatre-vingt-dix-huit
99,numbers51-100,ninety-nine,quatre-vingt-dix-neuf
100,numbers51-100,hundred,cent
0,numbers51-100,zero,zéro
𝔸,sets,algebraic numbers set,ensemble des nombres algébriques
𝔹,sets,true and false set,ensemble de bool
ℂ,sets,complex numbers set,ensemble des nombres complexes
ℂ̷,sets,split-complex numbers set,ensemble des nombres complexes déployés
𝔻,sets,decimal numbers set,ensemble des nombres décimaux
𝔻̷,sets,duals numbers set,ensemble des nombres duaux
𝔽ₚ,sets,finite field modulo p,corps fini modulo p
